google_place_id,business_name,formatted_address,lat,lon,business_status,rating,review_count,phone,website,google_maps_url,types,source_query,discovery_city,matched_from_poi_id,distance_from_original_mi,google_verification_status,google_confidence_grade,verified_at_utc
,,,,,,,,,,,,Best Coin Laundry 9245 Skillman St Dallas TX,,EX001,,Low confidence / non-laundromat match,C,2026-06-03T18:27:49.403828+00:00
,,,,,,,,,,,,Clean N Bright Coin Laundry & Dry Cleaners 11555 Ferguson Rd Dallas TX,,EX002,,Low confidence / non-laundromat match,C,2026-06-03T18:27:49.648692+00:00
,,,,,,,,,,,,Speed Wash & Dry 4828 Columbia Ave Dallas TX,,EX003,,Low confidence / non-laundromat match,C,2026-06-03T18:27:49.891352+00:00
,,,,,,,,,,,,Lusso Laundry To Go 2119 W Colorado Blvd Dallas TX,,EX004,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.203453+00:00
,,,,,,,,,,,,Q Wash & Dry 1012 S Hampton Rd Dallas TX,,EX005,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.429613+00:00
,,,,,,,,,,,,Texas Coin & Commercial Laundry 8700 Chancellor Row Dallas TX,,EX006,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.675567+00:00
,,,,,,,,,,,,Select Coin Laundry 3701 W Northwest Hwy Ste 211 Dallas TX,,EX007,,Low confidence / non-laundromat match,C,2026-06-03T18:27:50.914919+00:00
,,,,,,,,,,,,Abuelas Wash Coin 6529 Jeane St Dallas TX,,EX008,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.141402+00:00
,,,,,,,,,,,,Queen Wash N Dry 6556 Skillman St Dallas TX,,EX009,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.373125+00:00
,,,,,,,,,,,,CW's Laundry Mat 3045 N Buckner Blvd Dallas TX,,EX010,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.609420+00:00
,,,,,,,,,,,,Wash M Dry 8440 Lake June Rd Dallas TX,,EX011,,Low confidence / non-laundromat match,C,2026-06-03T18:27:51.833466+00:00
,,,,,,,,,,,,Spincycle Coin Laundry 11225 Garland Rd Dallas TX,,EX012,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.058458+00:00
,,,,,,,,,,,,Big Coin Laundry 9660 Audelia Rd Ste 227 Dallas TX,,EX013,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.282844+00:00
,,,,,,,,,,,,Laundry Wash 2015 N Masters Dr Dallas TX,,EX014,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.523823+00:00
,,,,,,,,,,,,J & J Wash & Dry Inc 11306 Lyndon B Johnson Fwy Dallas TX,,EX015,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.758302+00:00
,,,,,,,,,,,,Spincycle Inc 10325 Lake June Rd Dallas TX,,EX016,,Low confidence / non-laundromat match,C,2026-06-03T18:27:52.983213+00:00
,,,,,,,,,,,,XL Wash & Dry 9203 Skillman St Dallas TX,,EX017,,Low confidence / non-laundromat match,C,2026-06-03T18:27:53.233316+00:00
,,,,,,,,,,,,Williams Coin Laundry 9780 Walnut St Ste 440 Dallas TX,,EX018,,Low confidence / non-laundromat match,C,2026-06-03T18:27:53.459620+00:00
,,,,,,,,,,,,Super Coin Laundromat 9751 Walnut St Dallas TX,,EX019,,Low confidence / non-laundromat match,C,2026-06-03T18:27:53.683313+00:00
,,,,,,,,,,,,Spring Valley Laundry 7879 Spring Valley Rd Ste 147 Dallas TX,,EX020,,Low confidence / non-laundromat match,C,2026-06-03T18:27:53.920364+00:00
,,,,,,,,,,,,Wash N Go 17602 Kelly Blvd Dallas TX,,EX021,,Low confidence / non-laundromat match,C,2026-06-03T18:27:54.144610+00:00
,,,,,,,,,,,,Speed Queen Wash & Dry 4824 Gaston Ave Dallas TX,,EX022,,Low confidence / non-laundromat match,C,2026-06-03T18:27:54.384961+00:00
,,,,,,,,,,,,Wynnewood Village Washeteria 1937 S Llewellyn Ave Dallas TX,,EX023,,Low confidence / non-laundromat match,C,2026-06-03T18:27:54.611236+00:00
,,,,,,,,,,,,Shaddai Coin Laundry 3512 Almazan Dr Dallas TX,,EX024,,Low confidence / non-laundromat match,C,2026-06-03T18:27:54.838162+00:00
,,,,,,,,,,,,Franklin Laundry Inc 1320 N Jim Miller Rd Dallas TX,,EX025,,Low confidence / non-laundromat match,C,2026-06-03T18:27:55.065962+00:00
,,,,,,,,,,,,Brooks Washateria 6111 S R L Thornton Fwy Dallas TX,,EX026,,Low confidence / non-laundromat match,C,2026-06-03T18:27:55.291614+00:00
,,,,,,,,,,,,Speed King Wash & Dry 10100 Bruton Rd Dallas TX,,EX027,,Low confidence / non-laundromat match,C,2026-06-03T18:27:55.516988+00:00
,,,,,,,,,,,,Wash & Go Laundry Mat 17602 Kelly Blvd Dallas TX,,EX028,,Low confidence / non-laundromat match,C,2026-06-03T18:27:55.742195+00:00
,,,,,,,,,,,,Abrams Wash & Dry 9310 Forest Ln #300 Dallas TX,,EX029,,Low confidence / non-laundromat match,C,2026-06-03T18:27:55.965168+00:00
,,,,,,,,,,,,J R Coin Laundry 4234 Maple Ave Dallas TX,,EX030,,Low confidence / non-laundromat match,C,2026-06-03T18:27:56.332634+00:00
,,,,,,,,,,,,Playland Coin Laundry 2464 W Illinois Ave Dallas TX,,EX031,,Low confidence / non-laundromat match,C,2026-06-03T18:27:56.557844+00:00
